MGC,Seamount,Marker,Duration,Temperature (C),Latitude,Longitude,Depth (m)
LBT05,Lōʻihi,38,4,44,18.90566767,-155.25693460,1276
LBT07,Lōʻihi,38,4,44,18.90566767,-155.25693460,1276
LBT89,Lōʻihi,57,5,47.5,18.90137293,-155.25815488,1180
LBT90,Lōʻihi,57,8,12.5,18.90137293,-155.25815488,1180
LBT92,Lōʻihi,57,9,24.3,18.90137293,-155.25815488,1180
LBT94,Lōʻihi,57,8,25.1,18.90137293,-155.25815488,1180
LBT96,Lōʻihi,38,8,50.2,18.90137293,-155.25815488,1180
LBT97,Lōʻihi,57,9,25.1,18.90137293,-155.25815488,1180
EPR-BT43,EPR,28,5,12.5,9.83606500,-104.29080170,2508
EPR-BT44,EPR,28,5,12.5,9.83606500,-104.29080170,2508
EPR-BT50,EPR,28,8,12.5,9.83606500,-104.29080170,2508
EPR-BT51,EPR,28,8,12.5,9.83606500,-104.29080170,2508
EPR-BT65,EPR,28,9,6.5,9.83606500,-104.29080170,2508
EPR-BT66,EPR,Zeta Garden,4,12,9.84534179,-104.29299874,2510
EPR-BT71,EPR,Zeta Garden,4,12,9.84534179,-104.29299874,2510
