	Row.names	domain	phylum	class	order	family	genus	species	LBT-5	LBT-7	LBT-90	LBT-92	LBT-94	LBT-97	LBT89	LBT96	EPR-BT43	EPR-BT44	EPR-BT50	EPR-BT51	EPR-BT65	EPR-BT66	EPR-BT71
1	ASV_1	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	44	35716	2352	754	345	94	1799
2	ASV_10	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	229	223	34	23	11	32	94323	0	0	0	17	3	0	33	49
3	ASV_100	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	506	669	129	77	39	967
4	ASV_1000	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA	0	0	0	0	0	0	0	0	0	9	0	0	0	0	17
5	ASV_10000	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
6	ASV_10001	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	ASV_10002	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	ASV_10003	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	6	3	0	31	0
9	ASV_10004	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	ASV_10005	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	ASV_10006	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
12	ASV_10007	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	ASV_10008	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Oleispira	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	ASV_10009	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	ASV_1001	Bacteria	Aquificota	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	ASV_10010	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	ASV_10011	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	17	3	3	1	0	0
18	ASV_10012	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	2	4	0	0	2	0
19	ASV_10013	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	NA	0	0	0	0	0	0	0	0	0	14	10	4	2	6	0
20	ASV_10014	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	14	8	1	7	0
21	ASV_10015	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	ASV_10016	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	ASV_10017	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	ASV_10018	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	31	3	11	0	0	0
25	ASV_10019	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	ASV_1002	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Nitratiruptor	NA	0	0	0	0	0	0	0	0	0	17	0	0	3	0	0
27	ASV_10020	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0
28	ASV_10021	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	2	5	20	5	0	0
29	ASV_10022	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0
30	ASV_10023	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
31	ASV_10024	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
32	ASV_10025	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	ASV_10026	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	ASV_10027	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	ASV_10028	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	ASV_10029	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	ASV_1003	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	NA	0	0	0	0	0	0	0	0	0	157	19	35	29	280	37
38	ASV_10030	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	ASV_10031	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Cocleimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	ASV_10032	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	ASV_10033	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	ASV_10034	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	ASV_10035	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	ASV_10036	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	ASV_10037	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	ASV_10038	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	ASV_10039	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02 marine group	NA	3	0	13	11	4	0	0	0	0	0	0	0	0	0	0
48	ASV_1004	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	50	48	12	4	0	12
49	ASV_10040	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	ASV_10041	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	NA	NA	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
51	ASV_10042	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0
52	ASV_10043	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	0	0	34	1	4	0	0	0	0	0	0	0	0	0	0
53	ASV_10044	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
54	ASV_10045	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	13	29	0	0	0	0	0	0	0	0	0	0	0	0	0
55	ASV_10046	NA	NA	NA	NA	NA	NA	NA	0	0	6	8	20	16	0	0	0	0	0	0	0	0	0
56	ASV_10047	NA	NA	NA	NA	NA	NA	NA	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
57	ASV_10048	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	ASV_10049	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	ASV_1005	Bacteria	Campilobacterota	Campylobacteria	Nautiliales	Nautiliaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0
60	ASV_10050	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	ASV_10051	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NA	NA	0	10	4	3	0	6	0	0	0	5	0	0	0	0	0
62	ASV_10052	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	NA	NA	NA	0	0	3	0	1	0	0	0	0	0	0	0	0	6	0
63	ASV_10053	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA	0	0	0	3	22	6	0	0	0	0	0	0	0	8	0
64	ASV_10054	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	ASV_10055	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA	0	0	0	0	0	0	0	0	0	5	0	0	0	18	0
66	ASV_10056	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NA	0	0	0	0	0	1	0	0	0	0	3	2	3	5	0
67	ASV_10057	Bacteria	Campilobacterota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
